Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
41487,815.9,299.0468410103589,177.0814896438195,1.6887526844949161,0.8058255409314121,42483,229.83230624180686,0.6891757201235922,0.9765553280135584,0.7831555483946403,0.7685495204206004,0.0072082059683842865,0.0015512949334179579,0.5906683653387349,0.9974927876120124,BARBUNYA
41488,759.552,283.14277715886533,186.9854891254084,1.5142500013408295,0.7509202179760333,42005,229.83507615673557,0.7084336526475761,0.9876919414355434,0.9036855546927829,0.8117285507437827,0.006824690926505624,0.0018277047354628383,0.6589032400926017,0.997744232193699,BARBUNYA
42012,809.77,266.70039644938487,202.38108757631596,1.3178128433014509,0.6512851389525391,43087,231.28194861124302,0.7709755560449241,0.9750504792628867,0.805118589919659,0.8671976183400101,0.006348195669079903,0.002214636090266516,0.7520317092545856,0.9910370450256355,BARBUNYA
43122,838.1859999999999,296.4045889406183,185.65759983727045,1.5965120156698027,0.7795295358424137,44074,234.31738230031013,0.731985537505729,0.978399963697418,0.7713082096994188,0.7905322354751171,0.006873628053907942,0.0016559382042704515,0.6249412153252859,0.9977261593541082,BARBUNYA
43145,799.426,273.40294460829557,201.26688617038525,1.3584099690241271,0.6768132172915041,43812,234.37986295242726,0.7661233042119469,0.9847758604948416,0.8483670639867268,0.8572689781678223,0.006336839601536576,0.002111158840511917,0.7349101009289023,0.9983092074383485,BARBUNYA
44027,813.833,293.37182832079156,192.11117379284656,1.5270940389814824,0.7557688224956772,44639,236.7634208150723,0.756217794572312,0.9862900154573355,0.8353305514534717,0.8070421150192376,0.006663452615912771,0.0017436682970150474,0.6513169754147244,0.9946222706432744,BARBUNYA
44924,817.2149999999999,282.1488205724007,203.1618504048167,1.3887883970843737,0.6939200062885198,45772,239.16315206921496,0.7942715700141443,0.9814733898453203,0.8453092542512914,0.847648952010574,0.00628058099395425,0.0020000631164310187,0.7185087458446245,0.99785660943266,BARBUNYA
45012,854.1659999999999,299.2873978506231,192.1275180324174,1.5577539381949688,0.7667465770399208,45841,239.3972814958832,0.779820169435734,0.981915752274165,0.7752711330292471,0.7998909516910846,0.006649057981218855,0.001679047642421271,0.6398255345972692,0.9966907462765974,BARBUNYA
45564,802.7439999999999,296.0736966465412,196.34028052174517,1.5079620741081212,0.7484894913317497,46120,240.8607203682513,0.7464613368283093,0.9879444926279272,0.8885412016840969,0.8135161045926877,0.006497974204339856,0.001755587034404011,0.661808452431661,0.9979820465911333,BARBUNYA
45653,841.132,303.46949090679607,191.93207651922143,1.58112961840646,0.7745936606880008,46601,241.0958418052754,0.7724311794663553,0.9796570889036716,0.8108693306853656,0.7944648441754649,0.006647306659075988,0.0016335190866562114,0.6311743886307457,0.9979685202436618,BARBUNYA
46278,846.3079999999999,300.6302145588279,196.47844420260938,1.5300926052163604,0.7568788425430387,47102,242.74056037517477,0.7909957953030459,0.9825060506984842,0.81194676041874,0.8074390018694373,0.006496179924776954,0.001703243347401721,0.651957741739913,0.9975557195497987,BARBUNYA
46529,815.0260000000001,289.6082450032377,205.38139817672467,1.4100996856299435,0.7050378056961902,47156,243.3979514642274,0.7782851599090057,0.9867037068453643,0.8802188325437414,0.840438612034358,0.006224252509257403,0.0019155388001028987,0.706337060598238,0.9960056670983538,BARBUNYA
46774,833.7220000000001,305.70388675642926,196.1460607176044,1.558552262727099,0.7670217586298914,47446,244.03792013833117,0.793909973521624,0.9858365299498377,0.8456133914101824,0.7982820327461827,0.006535765313131852,0.001637199600556013,0.6372542038053773,0.9931939812732268,BARBUNYA
47003,821.3009999999999,300.1907651398814,200.11128439528377,1.5001191264502038,0.7454033408825529,47681,244.63458120467524,0.7757806826434277,0.9857804995700593,0.875650376547597,0.8149304029745272,0.006386629898940098,0.0017375351323716977,0.6641115616922255,0.9962464557912221,BARBUNYA
47143,858.562,296.8462778026491,203.05871161623685,1.4618741320670967,0.7294319147520079,47996,244.99863643998057,0.7179865976241243,0.98222768564047,0.803681098794091,0.8253384150663389,0.0062967201451466625,0.0018022805383084237,0.6811834993842163,0.9958045369407289,BARBUNYA
47149,857.6899999999999,300.2878932268089,200.31991421049716,1.4990416425162048,0.7449745601558974,48091,245.01422671901767,0.7207674080868303,0.9804121353267763,0.8054186039744718,0.8159310856197498,0.00636891330095673,0.001741241530675613,0.6657435364806235,0.9979772844204606,BARBUNYA
47668,846.1279999999999,300.10715214168147,202.88116112300486,1.4792263139687447,0.7368749465018954,48450,246.35905223562565,0.8147540423204458,0.983859649122807,0.8366901588466644,0.8209036355098889,0.006295778135052477,0.0017635910808270236,0.6738827787933526,0.9968251389215059,BARBUNYA
